,index,length,pre=1,pre=0,score
59,59,600,30,0,0.9983156840006511
60,60,600,0,30,0.08829756577809651
61,61,600,30,0,0.9845940907796223
62,62,600,30,0,0.9951122283935547
63,63,600,30,0,0.9805879592895508
64,64,600,0,30,0.001838291808962822
65,65,600,30,0,0.9885021209716797
66,66,600,1,29,0.04435809055964152
67,67,600,0,30,0.00036634976665178933
68,68,600,30,0,0.9954761505126953
69,69,600,30,0,0.9983407974243164
70,70,600,30,0,0.9976300557454427
71,71,600,1,29,0.030629460016886392
72,72,600,0,30,0.004592808584372203
73,73,600,28,2,0.8368263244628906
74,74,600,0,30,0.0056830699245134985
75,75,600,0,30,0.00489169160525004
76,76,600,28,2,0.6139883677164714
77,77,600,30,0,0.8279910405476888
78,78,600,0,30,0.0033386824031670886
79,79,600,30,0,0.9536005020141601
80,80,600,30,0,0.9951241811116537
81,81,600,30,0,0.9998949686686198
82,82,600,30,0,0.9998586018880208
83,83,600,30,0,0.9979853312174479
84,84,600,25,5,0.7373444239298502
85,85,600,0,30,0.00011210756686826547
86,86,600,0,30,0.0035297696789105735
87,87,600,28,2,0.7979241689046224
88,88,600,0,30,0.0013840397198994954
89,89,600,30,0,0.962863032023112
90,90,600,26,4,0.7283398946126302
91,91,600,30,0,0.9877306620279948
92,92,600,0,30,0.007182136674722036
93,93,600,30,0,1.0
94,94,600,0,30,0.0011217933148145675
95,95,600,30,0,0.9986448287963867
96,96,600,30,0,0.9973678588867188
97,97,600,30,0,0.9935601552327474
98,98,600,30,0,0.9943852742513021
99,99,600,30,0,0.99997984568278
100,100,600,30,0,0.999978764851888
101,101,600,0,30,0.10146780014038086
102,102,600,30,0,0.9956899007161458
103,103,600,30,0,0.9638403574625651
104,104,600,30,0,0.993911870320638
105,105,600,29,1,0.9281634648640951
106,106,600,30,0,0.9993532816569011
107,107,600,27,3,0.5255640029907227
108,108,600,0,30,0.020152397950490317
109,109,600,30,0,0.9946540196736654
110,110,600,30,0,0.9979193369547527
111,111,600,30,0,0.9993734995524088
112,112,600,30,0,0.9953994750976562
113,113,600,0,30,0.009286131461461384
114,114,600,30,0,0.9950446446736654
115,115,600,30,0,0.9993364334106445
116,116,600,30,0,0.9947036107381185
117,117,600,30,0,0.9789272944132487
118,118,600,0,30,0.023976620038350424
119,119,600,0,30,0.3261757214864095
120,120,600,30,0,0.993619155883789
121,121,600,30,0,0.9912330627441406
122,122,600,0,30,0.006981160243352254
123,123,600,1,29,0.264945920308431
124,124,600,0,30,0.00012120866837600867
125,125,600,30,0,0.9831015268961588
126,126,600,0,30,0.00020543901870648067
127,127,600,30,0,0.9022349675496419
128,128,600,29,1,0.9434172948201497
129,129,600,30,0,0.9777624766031902
130,130,600,0,30,0.013748477896054585
131,131,600,30,0,0.9964046478271484
132,132,600,30,0,0.9970829010009765
133,133,600,26,4,0.8116124471028646
134,134,600,0,30,0.017745594183603924
135,135,600,28,2,0.9168211619059244
136,136,600,0,30,0.030361648400624594
137,137,600,30,0,0.92055238087972
138,138,600,0,30,0.044900723298390705
139,139,600,30,0,0.9956270853678385
140,140,600,0,30,0.0026905655860900877
141,141,600,30,0,0.9999697367350261
142,142,600,0,30,0.0003651407547295094
143,143,600,30,0,0.999880027770996
144,144,600,30,0,0.9985584259033203
145,145,600,30,0,0.9993951161702473
146,146,600,30,0,0.9999993006388347
147,147,600,0,30,0.002437605957190196
148,148,600,0,30,0.0648238182067871
149,149,600,1,29,0.07836650212605795
150,150,600,30,0,0.9904005686442058
151,151,600,28,2,0.8252430597941081
152,152,600,2,28,0.0878906011581421
153,153,600,0,30,9.68819367699325e-06
154,154,600,30,0,0.9945844650268555
155,155,600,30,0,0.9990114212036133
156,156,600,26,4,0.6558779398600261
157,157,600,0,30,0.003002743422985077
158,158,600,0,30,0.057460387547810875
159,159,600,0,30,0.0005680924281477928
160,160,600,0,30,0.0006725716094175975
161,161,600,30,0,0.999940299987793
162,162,600,26,4,0.8401775360107422
163,163,600,3,27,0.19640378952026366
164,164,600,0,30,0.006561503807703654
165,165,600,30,0,0.9391806284586589
166,166,600,0,30,0.01588210662206014
167,167,600,26,4,0.7873509724934896
168,168,600,30,0,0.999728775024414
169,169,600,0,30,0.0007896068195501964
170,170,600,27,3,0.7885116577148438
171,171,600,0,30,0.001952692245443662
172,172,600,30,0,0.9998612721761068
173,173,600,29,1,0.9541345596313476
174,174,600,30,0,0.9996227264404297
175,175,600,0,30,0.000549290639658769
176,176,600,0,30,0.00024434228738149006
177,177,600,30,0,0.9999643325805664
178,178,600,30,0,0.9940633773803711
179,179,600,1,29,0.10806107521057129
180,180,600,2,28,0.27142788569132487
181,181,600,30,0,0.9999361673990885
182,182,600,30,0,0.999984868367513
183,183,600,0,30,0.08325318495432536
184,184,600,0,30,0.0026583616932233174
185,185,600,30,0,0.9976575215657552
186,186,600,30,0,0.9962597529093424
187,187,600,25,5,0.5409477233886719
188,188,600,0,30,0.0005971622963746388
189,189,600,30,0,0.9881338755289714
190,190,600,30,0,0.9916164398193359
191,191,600,29,1,0.9465558369954427
192,192,600,30,0,0.9919366200764974
193,193,600,0,30,0.2933823585510254
194,194,600,30,0,0.9877286911010742
195,195,600,0,30,0.0063185622294743855
196,196,600,0,30,0.005734749635060628
197,197,600,30,0,0.9998601277669271
198,198,600,30,0,0.9998711268107097
199,199,600,30,0,0.9981802622477214
200,200,600,30,0,0.9989650090535481
201,201,600,0,30,0.00035196462025245033
202,202,600,29,1,0.9696131388346354
203,203,600,30,0,0.9796656926472982
204,204,600,0,30,8.593808549145857e-05
205,205,600,0,30,0.006300353010495504
206,206,600,30,0,0.9861776987711589
207,207,600,29,1,0.9654914855957031
208,208,600,30,0,0.9790144602457682
209,209,600,30,0,0.9999351501464844
210,210,600,0,30,0.007692559560139974
211,211,600,0,30,0.4946326573689779
212,212,600,30,0,0.8528780619303385
213,213,600,30,0,0.9954208374023438
214,214,600,30,0,0.9693688710530599
215,215,600,0,30,4.707551561295986e-05
216,216,600,30,0,0.9967003504435221
217,217,600,5,25,0.456243896484375
218,218,600,0,30,6.16322155110538e-05
219,219,600,30,0,0.9809007008870443
220,220,600,0,30,0.0012484875818093617
221,221,600,30,0,0.9954374313354493
222,222,600,30,0,0.9999992370605468
223,223,600,29,1,0.9636563618977865
224,224,600,1,29,0.11761845747629801
225,225,600,0,30,0.004292843242486318
226,226,600,0,30,0.0019354797899723054
227,227,600,28,2,0.9270533243815104
228,228,600,30,0,0.9998742421468099
229,229,600,30,0,0.9969996770222982
230,230,600,0,30,0.0067684998114903765
231,231,600,0,30,0.004836683968702952
232,232,600,30,0,0.999994405110677
233,233,600,0,30,0.0049264873067537945
234,234,600,0,30,0.009459351499875387
235,235,600,30,0,0.9920921325683594
236,236,600,30,0,0.9774705251057942
237,237,600,0,30,0.0004500844826300939
238,238,600,0,30,0.011826745669047038
239,239,600,0,30,0.0007168327768643697
240,240,600,30,0,0.9339092254638672
241,241,600,24,6,0.5816516240437826
242,242,600,0,30,0.01614747444788615
243,243,600,2,28,0.09711373647054036
244,244,600,0,30,0.0002596829862644275
245,245,600,0,30,0.0006885749598344167
246,246,600,29,1,0.9397941589355469
247,247,600,26,4,0.5383536656697591
248,248,600,1,29,0.11938570340474447
249,249,600,0,30,0.004688042402267456
250,250,600,0,30,0.0006807343413432439
251,251,600,30,0,0.9999736150105795
252,252,600,30,0,0.9999755859375
253,253,600,30,0,0.9998929977416993
254,254,600,30,0,0.9947043100992838
255,255,600,30,0,0.999975840250651
256,256,600,30,0,0.9942103068033854
257,257,600,0,30,0.003169909119606018
258,258,600,0,30,0.0013639215379953385
259,259,600,30,0,0.9809323628743489
260,260,600,0,30,0.001415774722894033
261,261,600,30,0,0.9988754272460938
262,262,600,0,30,0.005449006954828898
263,263,600,0,30,0.0003367418423295021
264,264,600,0,30,0.0014647632837295533
265,265,600,0,30,0.008155288298924764
266,266,600,30,0,0.9953617095947266
267,267,600,30,0,0.9952367146809896
268,268,600,30,0,0.9999996185302734
269,269,600,0,30,0.0005415490518013637
270,270,600,30,0,0.9778100331624349
271,271,600,0,30,0.0006027191256483395
272,272,600,30,0,0.9951017379760743
273,273,600,27,3,0.8605623245239258
274,274,600,30,0,0.9999595642089844
275,275,600,30,0,0.9999998728434245
276,276,600,0,30,0.00501640240351359
277,277,600,28,2,0.9093340555826823
278,278,600,30,0,0.9996810913085937
279,279,600,30,0,0.9999932607014974
280,280,600,0,30,0.001014514391620954
281,281,600,0,30,0.013550724585851033
282,282,600,0,30,0.0019474593301614127
283,283,600,0,30,0.01652284562587738
284,284,600,1,29,0.03342388073603312
285,285,600,0,30,0.0011970830460389455
286,286,600,0,30,0.003175981342792511
287,287,600,30,0,0.9999904632568359
288,288,600,30,0,0.9999567031860351
289,289,600,0,30,0.0008869392176469167
290,290,600,0,30,0.031452890237172446
291,291,600,0,30,0.0009066363796591759
292,292,600,0,30,0.0028077542781829836
293,293,600,30,0,0.9938374837239583
294,294,600,30,0,0.997815195719401
295,295,600,29,1,0.9698087056477864
296,296,600,30,0,0.9998635609944662
297,297,600,30,0,0.9973170598347981
298,298,600,0,30,0.014608760674794516
299,299,600,30,0,0.9992181777954101
300,300,600,0,30,0.0018753631661335628
301,301,600,30,0,0.9649636586507161
302,302,600,30,0,0.987363052368164
303,303,600,0,30,0.006122880180676778
304,304,600,30,0,0.9800713857014974
305,305,600,0,30,2.6645238904166035e-07
306,306,600,0,30,0.003693157931168874
307,307,600,25,5,0.5947573979695638
308,308,600,27,3,0.6753477732340495
309,309,600,0,30,0.038434410095214845
310,310,600,29,1,0.8714815775553385
311,311,600,30,0,0.9999345779418946
312,312,600,0,30,0.018703303734461465
313,313,600,30,0,0.9998481114705403
314,314,600,0,30,3.4589328182240325e-05
315,315,600,0,30,0.010276111960411071
316,316,600,0,30,0.0021681077778339386
317,317,600,30,0,0.9998396555582683
318,318,600,0,30,0.004996680716673533
319,319,600,0,30,0.005096471309661866
320,320,600,30,0,0.9994901657104492
321,321,600,0,30,0.003859353562196096
322,322,600,0,30,0.0005328350389997165
323,323,600,30,0,0.9588387807210287
324,324,600,0,30,0.0007152923693259557
325,325,600,30,0,0.9910666147867838
326,326,600,30,0,0.99820556640625
327,327,600,0,30,0.004655086497465769
328,328,600,30,0,0.9999994277954102
329,329,600,3,27,0.24921394983927408
330,330,600,30,0,0.9999524434407552
331,331,600,0,30,0.0005092208584149678
332,332,600,30,0,0.9906049092610677
333,333,600,0,30,0.013536595304807027
334,334,600,0,30,0.0002520734289040168
335,335,600,1,29,0.0433114488919576
336,336,600,30,0,0.9991666158040364
337,337,600,0,30,0.001141847794254621
338,338,600,29,1,0.9655675888061523
339,339,600,30,0,0.9868684768676758
340,340,600,0,30,0.002468929688135783
341,341,600,27,3,0.8639429092407227
342,342,600,30,0,0.9985802332560222
343,343,600,0,30,0.013534065087636311
344,344,600,0,30,0.020689511299133302
345,345,600,0,30,0.11837147871653239
346,346,600,28,2,0.7522661844889323
347,347,600,1,29,0.0597234845161438
348,348,600,30,0,0.9975818634033203
349,349,600,0,30,0.001013818879922231
350,350,600,0,30,0.002617717782656352
351,351,600,0,30,0.0007143144806226095
352,352,600,0,30,0.007380540172259013
353,353,600,30,0,0.9970849355061849
354,354,600,2,28,0.34452641805013023
355,355,600,0,30,0.01571923096974691
356,356,600,30,0,0.9999998092651368
357,357,600,0,30,0.0037174378832181294
358,358,600,0,30,0.004483712712923685
359,359,600,28,2,0.6864953994750976
360,360,600,30,0,0.9945494969685872
361,361,600,0,30,0.06471235752105713
362,362,600,0,30,8.068187938382228e-05
363,363,600,0,30,0.0432730237642924
364,364,600,30,0,0.9993249893188476
365,365,600,0,30,0.010266422231992086
366,366,600,29,1,0.8684286753336589
367,367,600,0,30,0.00046553382029136024
368,368,600,0,30,0.030851141611735026
369,369,600,29,1,0.8389072418212891
370,370,600,29,1,0.9310187021891276
371,371,600,30,0,0.9998416900634766
372,372,600,19,11,0.5340335210164388
373,373,600,0,30,0.01062642236550649
374,374,600,0,30,0.008722672859827677
375,375,600,30,0,0.9944625854492187
376,376,600,30,0,0.9966295878092448
377,377,600,0,30,0.00598460336526235
378,378,600,0,30,0.018425158659617105
379,379,600,30,0,0.8733121871948242
380,380,600,0,30,0.12318115234375
381,381,600,0,30,0.0008604356398185094
382,382,600,30,0,0.9999195098876953
383,383,600,30,0,0.9984919230143229
384,384,600,28,2,0.8862672805786133
385,385,600,0,30,0.000705501064658165
386,386,600,28,2,0.9274141947428386
387,387,600,0,30,0.0010450862348079682
388,388,600,30,0,0.9998968124389649
389,389,600,0,30,0.002275897314151128
390,390,600,30,0,0.9984669367472331
391,391,600,0,30,0.00017984920802215735
392,392,600,0,30,0.00047060220191876093
393,393,600,30,0,0.9688381830851237
394,394,600,0,30,0.00027388613671064377
395,395,600,0,30,7.719147639969984e-05
396,396,600,30,0,0.9983744939168294
397,397,600,0,30,0.0007167033230264982
398,398,600,0,30,0.02945759892463684
399,399,600,3,27,0.29795360565185547
400,400,600,4,26,0.27967904408772787
401,401,600,30,0,0.999606704711914
402,402,600,0,30,0.09238966306050618
403,403,600,30,0,0.9925413767496745
404,404,600,30,0,0.9998164494832357
405,405,600,30,0,0.998377799987793
406,406,600,0,30,0.0013477937628825507
407,407,600,1,29,0.0639247218767802
408,408,600,0,30,0.0040229936440785725
409,409,600,0,30,0.003705340623855591
410,410,600,0,30,0.0029529422521591187
411,411,600,28,2,0.855130132039388
412,412,600,30,0,0.9801920572916667
413,413,600,0,30,0.0028902903199195863
414,414,600,27,3,0.8661849975585938
415,415,600,30,0,0.9972850799560546
416,416,600,30,0,0.9991001764933268
417,417,600,0,30,0.0013099263111750286
418,418,600,30,0,0.9962029774983724
419,419,600,0,30,0.0018958333879709245
420,420,600,0,30,3.1828354015791167e-06
421,421,600,30,0,0.9986612319946289
422,422,600,0,30,0.0038394575317700704
423,423,600,0,30,0.03105628291765849
424,424,600,2,28,0.21174681981404622
425,425,600,0,30,0.004469050963719686
426,426,600,30,0,0.9995910008748372
427,427,600,30,0,0.9888816197713216
428,428,600,0,30,0.004098003109296163
429,429,600,0,30,0.015350778897603353
430,430,600,30,0,0.8753908793131511
431,431,600,30,0,0.998222287495931
432,432,600,1,29,0.16170461972554526
433,433,600,30,0,0.9976214090983073
434,434,600,30,0,0.999850336710612
435,435,600,0,30,0.00034408376862605415
436,436,600,30,0,0.9861820220947266
437,437,600,30,0,0.9957799275716146
438,438,600,30,0,0.9999483108520508
439,439,600,0,30,0.002785348892211914
440,440,600,30,0,0.9959821065266927
441,441,600,0,30,0.026235814889272055
442,442,600,30,0,0.9978314717610677
443,443,600,30,0,0.9999872843424479
444,444,600,0,30,0.0470160722732544
445,445,600,0,30,0.015123988191286722
446,446,600,30,0,0.9797760009765625
447,447,600,30,0,0.9681571960449219
448,448,600,28,2,0.7999551137288411
449,449,600,30,0,0.8797266642252605
450,450,600,0,30,0.003966323037942251
451,451,600,0,30,0.0014330537368853888
452,452,600,0,30,0.004620680212974548
453,453,600,30,0,0.9918210347493489
454,454,600,0,30,0.0010323014110326767
455,455,600,0,30,0.0006690959135691325
456,456,600,0,30,0.010237413644790649
457,457,600,0,30,0.0007886134088039398
458,458,600,30,0,0.979334004720052
459,459,600,29,1,0.8541404088338216
460,460,600,30,0,0.9761761983235677
461,461,600,30,0,0.9983140309651692
462,462,600,0,30,0.000933780645330747
463,463,600,0,30,0.0023428556819756825
464,464,600,30,0,0.9987681070963542
465,465,600,30,0,0.9110692342122396
466,466,600,30,0,0.999950663248698
467,467,600,0,30,0.00455168733994166
468,468,600,0,30,0.0055487761894861855
469,469,600,0,30,0.0017579389115174612
470,470,600,0,30,0.0014146074652671814
471,471,600,0,30,0.0351401170094808
472,472,600,30,0,0.999990971883138
473,473,600,28,2,0.9160986582438151
474,474,600,30,0,0.9950829823811849
475,475,600,28,2,0.9366538365681966
476,476,600,0,30,0.006517982482910157
477,477,600,30,0,0.9820684432983399
478,478,600,30,0,0.9975262959798177
479,479,600,0,30,0.001492565373579661
480,480,600,30,0,0.981854502360026
481,481,600,0,30,0.011919460693995158
482,482,600,30,0,0.9854021708170573
483,483,600,0,30,0.00016815029084682465
484,484,600,1,29,0.14188920656840007
485,485,600,0,30,0.001572136953473091
486,486,600,0,30,0.006481890877087911
487,487,600,30,0,0.9817317962646485
488,488,600,30,0,0.9935718536376953
489,489,600,30,0,0.9934241612752278
490,490,600,0,30,0.0003928969303766886
491,491,600,0,30,0.014239764213562012
492,492,600,30,0,0.9996417999267578
493,493,600,0,30,0.1225536028544108
494,494,600,0,30,0.0008027499541640281
495,495,600,0,30,0.06594272454579671
496,496,600,0,30,0.006650425990422567
497,497,600,0,30,0.009785142540931702
498,498,600,0,30,0.005770425001780192
499,499,600,30,0,0.9999986012776693
500,500,600,3,27,0.10320180257161458
501,501,600,8,22,0.3297771135965983
502,502,600,3,27,0.09782752990722657
503,503,600,15,15,0.5531253814697266
504,504,600,10,20,0.3564528147379557
505,505,600,16,14,0.5512665430704753
506,506,600,14,16,0.47584740320841473
507,507,600,12,18,0.4273501396179199
508,508,600,21,9,0.6746603647867838
509,509,600,4,26,0.1362187067667643
510,510,600,2,28,0.06734944979349772
511,511,600,9,21,0.3088151295979818
512,512,600,20,10,0.6721579233805338
513,513,600,25,5,0.8277688980102539
514,514,600,6,24,0.17604810396830242
515,515,600,0,30,0.0031726775070031483
516,516,600,8,22,0.27760655085245767
517,517,600,12,18,0.344478702545166
518,518,600,21,9,0.6993749618530274
519,519,600,7,23,0.24065419832865398
520,520,600,5,25,0.1488058884938558
521,521,600,7,23,0.2385440190633138
522,522,600,4,26,0.14099148114522297
523,523,600,20,10,0.6570039749145508
524,524,600,6,24,0.20089861551920574
525,525,600,11,19,0.340261173248291
526,526,600,24,6,0.7976343790690105
527,527,600,6,24,0.1986427148183187
528,528,600,21,9,0.7004546483357748
529,529,600,2,28,0.06087417999903361
530,530,600,23,7,0.7704015096028646
531,531,600,18,12,0.5914889017740885
532,532,600,15,15,0.5457796096801758
533,533,600,0,30,0.004024919867515564
534,534,600,2,28,0.13805928230285644
535,535,600,7,23,0.23782178560892742
536,536,600,10,20,0.34836950302124026
537,537,600,7,23,0.19470847447713216
538,538,600,3,27,0.11033538977305095
539,539,600,2,28,0.07072452704111735
540,540,600,12,18,0.42222245534261066
541,541,600,14,16,0.4233695983886719
542,542,600,2,28,0.06787650585174561
543,543,600,4,26,0.12267746925354003
544,544,600,11,19,0.38050289154052735
545,545,600,7,23,0.21204892794291177
546,546,600,20,10,0.6835882186889648
547,547,600,19,11,0.6346495946248373
548,548,600,25,5,0.8183629353841145
549,549,600,13,17,0.480441411336263
550,550,600,22,8,0.780712636311849
551,551,600,3,27,0.11480065981547037
552,552,600,4,26,0.12688403924306232
553,553,600,8,22,0.2161580244700114
554,554,600,21,9,0.7095145543416341
555,555,600,3,27,0.11377640565236409
556,556,600,2,28,0.05551321506500244
557,557,600,7,23,0.2551534652709961
558,558,600,17,13,0.5728679021199544
559,559,600,21,9,0.7067834854125976
560,560,600,22,8,0.7331204096476237
561,561,600,20,10,0.6919275919596354
562,562,600,13,17,0.4569630304972331
563,563,600,6,24,0.16990482012430827
564,564,600,15,15,0.5250413576761882
565,565,600,4,26,0.13880387941996256
566,566,600,3,27,0.09407621224721273
567,567,600,3,27,0.11267658074696858
568,568,600,22,8,0.7440896987915039
569,569,600,22,8,0.7421618143717448
570,570,600,7,23,0.226443084081014
571,571,600,26,4,0.8949570337931315
572,572,600,20,10,0.6587208429972331
573,573,600,7,23,0.19466789563496908
574,574,600,5,25,0.15934967994689941
575,575,600,3,27,0.10117528438568116
576,576,600,2,28,0.06804679234822592
577,577,600,6,24,0.17473114331563314
578,578,600,1,29,0.04932597080866496
579,579,600,7,23,0.26450910568237307
580,580,600,22,8,0.7378783543904622
581,581,600,13,17,0.4157329877217611
582,582,600,6,24,0.17831149101257324
583,583,600,28,2,0.932497215270996
584,584,600,6,24,0.23063411712646484
585,585,600,25,5,0.7902394612630208
586,586,600,7,23,0.2770684242248535
587,587,600,15,15,0.49285863240559896
588,588,600,11,19,0.36878290176391604
589,589,600,22,8,0.7628744125366211
590,590,600,14,16,0.5014379183451335
591,591,600,24,6,0.8089593887329102
592,592,600,18,12,0.5949136098225911
593,593,600,16,14,0.5330025355021158
594,594,600,19,11,0.6345774332682291
595,595,600,21,9,0.7024903615315755
596,596,600,4,26,0.1246426264444987
597,597,600,19,11,0.6332359949747721
598,598,600,0,30,0.019604474306106567
599,599,600,0,30,0.012763149539629618
