,causes_type,sample_index,feature0,feature1,feature2,feature3_1,feature3_2,feature3_3,feature3_4,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature60,feature20_distance,featureY_mean,featureX_mean,featureY_min,featureX_min,Date & Time
39296,unknown,659,838.19,24.35,3.0,0.0,0.0,1342.0,0.0,0.0,9.24,362617.0,270.0,1342.0,13.71,3.0,,,,0.0,,,,,2019-08-07 18:26:26
39297,unknown,659,847.05,23.94,3.0,0.0,0.0,1286.0,0.0,0.0,5.59,348862.0,271.0,1286.0,13.89,3.0,,,,0.0,,,,,2019-08-07 18:26:27
39298,unknown,659,837.86,24.18,3.0,0.0,0.0,1294.0,0.0,0.0,7.04,351143.0,271.0,1294.0,13.95,3.0,,,,0.0,,,,,2019-08-07 18:26:28
39299,unknown,659,837.96,23.77,3.0,1.0,0.0,1308.0,0.0,0.0,6.04,355385.0,271.0,1309.0,13.86,3.0,,,,0.0,,,,,2019-08-07 18:26:29
39300,unknown,659,833.34,24.2,3.0,0.0,0.0,1372.0,0.0,0.0,11.3,370969.0,270.0,1372.0,13.42,3.0,,,,0.0,,,,,2019-08-07 18:26:30
39301,unknown,659,847.2,24.37,3.0,1.0,0.0,1287.0,0.0,0.0,6.98,348037.0,270.0,1288.0,13.27,3.0,,,,0.0,,,,,2019-08-07 18:26:31
39302,unknown,659,838.32,24.03,3.0,0.0,0.0,1396.0,0.0,0.0,11.17,377731.0,271.0,1396.0,13.82,3.0,,,,0.0,,,,,2019-08-07 18:26:32
39303,unknown,659,842.36,23.66,3.0,0.0,0.0,1387.0,0.0,0.0,9.16,374822.0,270.0,1387.0,13.56,3.0,,,,0.0,,,,,2019-08-07 18:26:33
39304,unknown,659,842.04,23.25,3.0,0.0,0.0,1398.0,0.0,0.0,8.23,378067.0,270.0,1398.0,13.57,3.0,,,,0.0,,,,,2019-08-07 18:26:34
39305,unknown,659,842.21,23.2,3.0,0.0,0.0,1369.0,0.0,0.0,7.23,371667.0,271.0,1369.0,13.58,3.0,,,,0.0,,,,,2019-08-07 18:26:35
39306,unknown,659,838.72,23.81,3.0,0.0,0.0,1321.0,0.0,0.0,6.96,357901.0,271.0,1321.0,13.38,3.0,,,,0.0,,,,,2019-08-07 18:26:36
39307,unknown,659,845.46,23.04,3.0,0.0,0.0,1382.0,0.0,0.0,7.54,374135.0,271.0,1382.0,13.6,3.0,,,,0.0,,,,,2019-08-07 18:26:37
39308,unknown,659,840.18,23.03,3.0,1.0,0.0,1413.0,0.0,0.0,8.27,382921.0,271.0,1414.0,13.18,3.0,,,,0.0,,,,,2019-08-07 18:26:38
39309,unknown,659,832.56,22.93,3.0,3.0,0.0,1399.0,0.0,0.0,7.49,379066.0,270.0,1402.0,13.09,3.0,,,,0.0,,,,,2019-08-07 18:26:39
39310,unknown,659,851.98,23.8,3.0,1.0,0.0,1415.0,0.0,0.0,11.58,383015.0,270.0,1416.0,13.08,3.0,,,,0.0,,,,,2019-08-07 18:26:40
39311,unknown,659,839.73,23.49,3.0,1.0,0.0,1373.0,0.0,0.0,7.85,371952.0,271.0,1374.0,13.35,3.0,,,,0.0,,,,,2019-08-07 18:26:41
39312,unknown,659,839.07,23.5,3.0,1.0,0.0,1343.0,0.0,0.0,6.92,364004.0,271.0,1344.0,13.59,3.0,,,,0.0,,,,,2019-08-07 18:26:42
39313,unknown,659,841.9,23.95,3.0,0.0,0.0,1355.0,0.0,0.0,9.23,367506.0,271.0,1355.0,13.88,3.0,,,,0.0,,,,,2019-08-07 18:26:43
39314,unknown,659,841.59,24.28,3.0,0.0,0.0,1346.0,0.0,0.0,9.44,364145.0,271.0,1346.0,13.56,3.0,,,,0.0,,,,,2019-08-07 18:26:44
39315,unknown,659,840.53,23.53,3.0,0.0,0.0,1381.0,0.0,0.0,8.54,374088.0,271.0,1381.0,13.81,3.0,,,,0.0,,,,,2019-08-07 18:26:45
39316,unknown,659,835.22,24.84,3.0,1.0,0.0,1374.0,0.0,0.0,13.09,371789.0,270.0,1375.0,13.3,3.0,,,,0.0,,,,,2019-08-07 18:26:46
39317,unknown,659,846.14,24.22,3.0,1.0,0.0,1314.0,0.0,0.0,7.76,356151.0,271.0,1315.0,13.74,3.0,,,,0.0,,,,,2019-08-07 18:26:47
39318,unknown,659,840.67,24.4,3.0,0.0,0.0,1386.0,0.0,0.0,11.4,375146.0,271.0,1386.0,13.63,3.0,,,,0.0,,,,,2019-08-07 18:26:48
39319,unknown,659,842.97,23.9,3.0,1.0,0.0,1376.0,0.0,0.0,9.51,372916.0,271.0,1377.0,13.85,3.0,,,,0.0,,,,,2019-08-07 18:26:49
39320,unknown,659,835.73,23.84,3.0,1.0,0.0,1402.0,0.0,0.0,10.83,379627.0,271.0,1403.0,13.73,3.0,,,,0.0,,,,,2019-08-07 18:26:50
39321,unknown,659,839.66,23.73,3.0,2.0,0.0,1424.0,0.0,0.0,11.01,385165.0,270.0,1426.0,13.53,3.0,,,,0.0,,,,,2019-08-07 18:26:51
39322,unknown,659,839.39,23.44,3.0,3.0,0.0,1409.0,0.0,0.0,9.56,381457.0,270.0,1412.0,13.4,3.0,,,,0.0,,,,,2019-08-07 18:26:52
39323,unknown,659,843.62,23.81,3.0,1.0,0.0,1431.0,0.0,0.0,11.45,387302.0,270.0,1432.0,13.53,3.0,,,,0.0,,,,,2019-08-07 18:26:53
39324,unknown,659,843.23,23.65,3.0,0.0,0.0,1385.0,0.0,0.0,9.18,374873.0,271.0,1385.0,13.63,3.0,,,,0.0,,,,,2019-08-07 18:26:54
39325,unknown,659,840.78,23.57,3.0,0.0,0.0,1383.0,0.0,0.0,8.83,374537.0,271.0,1383.0,13.41,3.0,,,,0.0,,,,,2019-08-07 18:26:55
39326,unknown,659,837.95,23.98,3.0,0.0,0.0,1422.0,0.0,0.0,11.74,384490.0,270.0,1422.0,13.33,3.0,,,,0.0,,,,,2019-08-07 18:26:56
39327,unknown,659,841.66,23.68,3.0,1.0,0.0,1370.0,0.0,0.0,8.39,371262.0,271.0,1371.0,13.27,3.0,,,,0.0,,,,,2019-08-07 18:26:57
39328,unknown,659,846.2,24.62,3.0,1.0,0.0,1313.0,0.0,0.0,9.21,355539.0,271.0,1314.0,13.34,3.0,,,,0.0,,,,,2019-08-07 18:26:58
39329,unknown,659,837.52,24.62,3.0,1.0,0.0,1385.0,0.0,0.0,12.7,374776.0,270.0,1386.0,13.64,3.0,,,,0.0,,,,,2019-08-07 18:26:59
39330,unknown,659,839.78,23.76,3.0,0.0,0.0,1329.0,0.0,0.0,6.85,359536.0,271.0,1329.0,13.82,3.0,,,,0.0,,,,,2019-08-07 18:27:00
39331,unknown,659,845.57,24.36,3.0,0.0,0.0,1255.0,0.0,0.0,5.18,340883.0,272.0,1255.0,13.89,3.0,,,,0.0,,,,,2019-08-07 18:27:01
39332,unknown,659,843.1,24.71,3.0,0.0,0.0,1263.0,0.0,0.0,6.96,342841.0,271.0,1263.0,14.1,3.0,,,,0.0,,,,,2019-08-07 18:27:02
39333,unknown,659,842.87,24.83,3.0,0.0,0.0,1243.0,0.0,0.0,6.6,336590.0,271.0,1243.0,14.19,3.0,,,,0.0,,,,,2019-08-07 18:27:03
39334,unknown,659,839.39,24.97,3.0,0.0,0.0,1243.0,0.0,0.0,7.17,337220.0,271.0,1243.0,14.1,3.0,,,,0.0,,,,,2019-08-07 18:27:04
39335,unknown,659,840.95,25.04,3.0,0.0,0.0,1286.0,0.0,0.0,9.18,348071.0,271.0,1286.0,14.14,3.0,,,,0.0,,,,,2019-08-07 18:27:05
39336,unknown,659,839.71,24.42,3.0,0.0,0.0,1334.0,0.0,0.0,9.52,360352.0,270.0,1334.0,14.19,3.0,,,,0.0,,,,,2019-08-07 18:27:06
39337,unknown,659,843.26,23.9,3.0,0.0,0.0,1350.0,0.0,0.0,8.3,365947.0,271.0,1350.0,14.15,3.0,,,,0.0,,,,,2019-08-07 18:27:07
39338,unknown,659,843.06,24.17,3.0,0.0,0.0,1302.0,0.0,0.0,7.14,353214.0,271.0,1302.0,14.18,3.0,,,,0.0,,,,,2019-08-07 18:27:08
39339,unknown,659,839.52,23.86,3.0,0.0,0.0,1343.0,0.0,0.0,7.89,363391.0,271.0,1343.0,14.3,3.0,,,,0.0,,,,,2019-08-07 18:27:09
39340,unknown,659,841.74,24.32,3.0,0.0,0.0,1272.0,0.0,0.0,6.29,344911.0,271.0,1272.0,14.2,3.0,,,,0.0,,,,,2019-08-07 18:27:10
39341,unknown,659,839.66,23.51,3.0,0.0,0.0,1351.0,0.0,0.0,7.25,365978.0,271.0,1351.0,14.38,3.0,,,,0.0,,,,,2019-08-07 18:27:11
39342,unknown,659,839.15,23.54,3.0,0.0,0.0,1321.0,0.0,0.0,5.97,358627.0,271.0,1321.0,14.11,3.0,,,,0.0,,,,,2019-08-07 18:27:12
39343,unknown,659,842.08,23.81,3.0,0.0,0.0,1372.0,0.0,0.0,8.75,371469.0,271.0,1372.0,14.11,3.0,,,,0.0,,,,,2019-08-07 18:27:13
39344,unknown,659,840.26,24.08,3.0,0.0,0.0,1345.0,0.0,0.0,8.71,364211.0,271.0,1345.0,14.18,3.0,,,,0.0,,,,,2019-08-07 18:27:14
39345,unknown,659,839.25,23.99,3.0,0.0,0.0,1370.0,0.0,0.0,9.57,371036.0,271.0,1370.0,14.29,3.0,,,,0.0,,,,,2019-08-07 18:27:15
39346,unknown,659,844.49,23.41,3.0,0.0,0.0,1393.0,0.0,0.0,8.61,377186.0,271.0,1393.0,14.28,3.0,,,,0.0,,,,,2019-08-07 18:27:16
39347,unknown,659,838.99,22.89,3.0,3.0,0.0,1393.0,0.0,0.0,6.81,377218.0,270.0,1396.0,14.09,3.0,,,,0.0,,,,,2019-08-07 18:27:17
39348,unknown,659,841.86,22.56,3.0,0.0,0.0,1347.0,0.0,0.0,3.56,365935.0,272.0,1347.0,14.1,3.0,,,,0.0,,,,,2019-08-07 18:27:18
39349,unknown,659,842.73,23.26,3.0,0.0,0.0,1312.0,0.0,0.0,4.27,356606.0,272.0,1312.0,14.03,3.0,,,,0.0,,,,,2019-08-07 18:27:19
39350,unknown,659,838.87,23.23,3.0,2.0,0.0,1342.0,0.0,0.0,5.65,364102.0,271.0,1344.0,14.14,3.0,,,,0.0,,,,,2019-08-07 18:27:20
39351,unknown,659,843.1,23.14,3.0,0.0,0.0,1344.0,0.0,0.0,6.03,364503.0,271.0,1344.0,14.1,3.0,,,,0.0,,,,,2019-08-07 18:27:21
39352,unknown,659,838.46,23.05,3.0,0.0,0.0,1366.0,0.0,0.0,5.85,370638.0,271.0,1366.0,14.05,3.0,,,,0.0,,,,,2019-08-07 18:27:22
39353,unknown,659,841.63,23.57,3.0,0.0,0.0,1328.0,0.0,0.0,6.48,360167.0,271.0,1328.0,14.09,3.0,,,,0.0,,,,,2019-08-07 18:27:23
39354,unknown,659,839.83,23.22,3.0,0.0,0.0,1366.0,0.0,0.0,6.67,370751.0,271.0,1366.0,14.15,3.0,,,,0.0,,,,,2019-08-07 18:27:24
39355,unknown,659,841.55,23.29,3.0,0.0,0.0,1375.0,0.0,0.0,7.13,372627.0,271.0,1375.0,14.06,3.0,,,,0.0,,,,,2019-08-07 18:27:25
39356,unknown,659,839.16,22.86,3.0,0.0,0.0,1357.0,0.0,0.0,5.23,367535.0,271.0,1357.0,14.06,3.0,,,,0.0,,,,,2019-08-07 18:27:26
39357,unknown,659,841.4,23.01,3.0,0.0,0.0,1372.0,0.0,0.0,6.34,372357.0,271.0,1372.0,14.01,3.0,,,,0.0,,,,,2019-08-07 18:27:27
39358,unknown,659,840.76,23.02,3.0,0.0,0.0,1344.0,0.0,0.0,5.58,364664.0,271.0,1344.0,14.02,3.0,,,,0.0,,,,,2019-08-07 18:27:28
39359,unknown,659,841.82,23.01,3.0,0.0,0.0,1369.0,0.0,0.0,5.7,371699.0,272.0,1369.0,14.02,3.0,,,,0.0,,,,,2019-08-07 18:27:29
39360,unknown,659,838.01,23.21,3.0,1.0,0.0,1348.0,0.0,0.0,6.08,366321.0,272.0,1349.0,14.01,3.0,,,,0.0,,,,,2019-08-07 18:27:30
39361,unknown,659,842.01,22.82,3.0,0.0,0.0,1402.0,0.0,0.0,6.99,379482.0,271.0,1402.0,14.05,3.0,,,,0.0,,,,,2019-08-07 18:27:31
39362,unknown,659,835.26,22.34,3.0,2.0,0.0,1467.0,0.0,0.0,7.75,397566.0,271.0,1469.0,13.96,3.0,,,,0.0,,,,,2019-08-07 18:27:32
39363,unknown,659,847.78,22.76,3.0,3.0,0.0,1339.0,0.0,0.0,4.4,363460.0,271.0,1342.0,14.0,3.0,,,,0.0,,,,,2019-08-07 18:27:33
39364,unknown,659,837.6,22.37,3.0,0.0,0.0,1469.0,0.0,0.0,8.65,397628.0,271.0,1469.0,13.94,3.0,,,,0.0,,,,,2019-08-07 18:27:34
39365,unknown,659,833.54,22.3,3.0,2.0,0.0,1429.0,0.0,0.0,6.08,386885.0,270.0,1431.0,13.84,3.0,,,,0.0,,,,,2019-08-07 18:27:35
39366,unknown,659,843.73,22.93,3.0,1.0,0.0,1350.0,0.0,0.0,5.77,366657.0,271.0,1351.0,13.98,3.0,,,,0.0,,,,,2019-08-07 18:27:36
39367,unknown,659,845.04,21.81,3.0,0.0,0.0,1450.0,0.0,0.0,5.03,392683.0,271.0,1450.0,14.1,3.0,,,,0.0,,,,,2019-08-07 18:27:37
39368,unknown,659,839.1,22.16,3.0,1.0,0.0,1416.0,0.0,0.0,5.78,384143.0,271.0,1417.0,14.04,3.0,,,,0.0,,,,,2019-08-07 18:27:38
39369,unknown,659,840.39,22.3,3.0,0.0,0.0,1483.0,0.0,0.0,8.16,402128.0,271.0,1483.0,13.94,3.0,,,,0.0,,,,,2019-08-07 18:27:39
39370,unknown,659,843.07,23.51,3.0,2.0,0.0,1326.0,0.0,0.0,6.02,360024.0,271.0,1328.0,13.48,3.0,,,,0.0,,,,,2019-08-07 18:27:40
39371,unknown,659,836.49,23.25,3.0,0.0,0.0,1357.0,0.0,0.0,6.85,368100.0,271.0,1357.0,14.0,3.0,,,,0.0,,,,,2019-08-07 18:27:41
39372,unknown,659,847.18,23.17,3.0,1.0,0.0,1326.0,0.0,0.0,4.21,359879.0,271.0,1327.0,14.06,3.0,,,,0.0,,,,,2019-08-07 18:27:42
39373,unknown,659,839.4,23.43,3.0,1.0,0.0,1365.0,0.0,0.0,7.76,369203.0,270.0,1366.0,14.06,3.0,,,,0.0,,,,,2019-08-07 18:27:43
39374,unknown,659,842.38,23.25,3.0,0.0,0.0,1330.0,0.0,0.0,5.04,361197.0,272.0,1330.0,14.11,3.0,,,,0.0,,,,,2019-08-07 18:27:44
39375,unknown,659,838.41,23.12,3.0,0.0,0.0,1381.0,0.0,0.0,7.75,373474.0,270.0,1381.0,14.06,3.0,,,,0.0,,,,,2019-08-07 18:27:45
39376,unknown,659,834.94,22.57,3.0,0.0,0.0,1420.0,0.0,0.0,6.27,385332.0,271.0,1420.0,14.07,3.0,,,,0.0,,,,,2019-08-07 18:27:46
39377,unknown,659,844.7,23.34,3.0,1.0,0.0,1304.0,0.0,0.0,4.29,354470.0,272.0,1305.0,13.93,3.0,,,,0.0,,,,,2019-08-07 18:27:47
39378,unknown,659,847.15,23.16,3.0,1.0,0.0,1402.0,0.0,0.0,8.41,379304.0,270.0,1403.0,14.05,3.0,,,,0.0,,,,,2019-08-07 18:27:48
39379,unknown,659,843.9,22.38,3.0,0.0,0.0,1442.0,0.0,0.0,7.28,391274.0,271.0,1442.0,13.98,3.0,,,,0.0,,,,,2019-08-07 18:27:49
39380,unknown,659,836.66,22.43,3.0,0.0,0.0,1471.0,0.0,0.0,8.43,398416.0,271.0,1471.0,13.47,3.0,,,,0.0,,,,,2019-08-07 18:27:50
39381,unknown,659,836.38,22.27,3.0,0.0,0.0,1520.0,0.0,0.0,10.07,410906.0,270.0,1520.0,13.36,3.0,,,,0.0,,,,,2019-08-07 18:27:51
39382,unknown,659,843.91,21.74,3.0,0.0,0.0,1542.0,0.0,0.0,8.61,416799.0,270.0,1542.0,13.23,3.0,,,,0.0,,,,,2019-08-07 18:27:52
39383,unknown,659,841.45,21.44,3.0,0.0,0.0,1521.0,0.0,0.0,7.17,412212.0,271.0,1521.0,13.17,3.0,,,,0.0,,,,,2019-08-07 18:27:53
39384,unknown,659,832.66,22.04,3.0,0.0,0.0,1546.0,0.0,0.0,10.42,418133.0,270.0,1546.0,13.27,3.0,,,,0.0,,,,,2019-08-07 18:27:54
39385,unknown,659,849.6,21.93,3.0,0.0,0.0,1491.0,0.0,0.0,7.92,404280.0,271.0,1491.0,13.17,3.0,,,,0.0,,,,,2019-08-07 18:27:55
39386,unknown,659,843.51,22.62,3.0,1.0,0.0,1451.0,0.0,0.0,7.78,392843.0,271.0,1452.0,13.36,3.0,,,,0.0,,,,,2019-08-07 18:27:56
39387,unknown,659,837.21,22.98,3.0,1.0,0.0,1377.0,0.0,0.0,6.46,373722.0,271.0,1378.0,13.51,3.0,,,,0.0,,,,,2019-08-07 18:27:57
39388,unknown,659,843.17,23.38,3.0,0.0,0.0,1361.0,0.0,0.0,7.12,369192.0,271.0,1361.0,14.01,3.0,,,,0.0,,,,,2019-08-07 18:27:58
39389,unknown,659,845.54,22.87,3.0,0.0,0.0,1401.0,0.0,0.0,6.79,379144.0,271.0,1401.0,14.1,3.0,,,,0.0,,,,,2019-08-07 18:27:59
39390,unknown,659,839.46,22.97,3.0,0.0,0.0,1359.0,0.0,0.0,5.67,368953.0,271.0,1359.0,13.98,3.0,,,,0.0,,,,,2019-08-07 18:28:00
39391,unknown,659,840.57,23.25,3.0,1.0,0.0,1347.0,0.0,0.0,5.86,365693.0,271.0,1348.0,13.94,3.0,,,,0.0,,,,,2019-08-07 18:28:01
39392,unknown,659,838.67,23.14,3.0,1.0,0.0,1378.0,0.0,0.0,7.39,373446.0,271.0,1379.0,14.1,3.0,,,,0.0,,,,,2019-08-07 18:28:02
39393,unknown,659,843.42,22.92,3.0,0.0,0.0,1387.0,0.0,0.0,6.63,375726.0,271.0,1387.0,14.06,3.0,,,,0.0,,,,,2019-08-07 18:28:03
39394,unknown,659,844.22,23.21,3.0,1.0,0.0,1324.0,0.0,0.0,4.38,359817.0,272.0,1325.0,13.94,3.0,,,,0.0,,,,,2019-08-07 18:28:04
39395,unknown,659,839.59,23.53,3.0,1.0,0.0,1360.0,0.0,0.0,7.87,368516.0,271.0,1361.0,14.09,3.0,,,,0.0,,,,,2019-08-07 18:28:05
39396,unknown,659,843.53,23.15,3.0,0.0,0.0,1372.0,0.0,0.0,6.27,372470.0,271.0,1372.0,14.15,3.0,,,,0.0,,,,,2019-08-07 18:28:06
39397,unknown,659,839.9,23.11,3.0,0.0,0.0,1404.0,0.0,0.0,8.12,380044.0,271.0,1404.0,14.06,3.0,,,,0.0,,,,,2019-08-07 18:28:07
39398,unknown,659,837.88,22.76,3.0,0.0,0.0,1456.0,0.0,0.0,9.33,393627.0,270.0,1456.0,14.03,3.0,,,,0.0,,,,,2019-08-07 18:28:08
39399,unknown,659,840.62,21.87,3.0,0.0,0.0,1514.0,0.0,0.0,8.13,410204.0,271.0,1514.0,13.94,3.0,,,,0.0,,,,,2019-08-07 18:28:09
39400,unknown,659,844.74,22.51,3.0,0.0,0.0,1476.0,0.0,0.0,8.88,400088.0,271.0,1476.0,13.45,3.0,,,,0.0,,,,,2019-08-07 18:28:10
39401,unknown,659,843.02,22.47,3.0,0.0,0.0,1481.0,0.0,0.0,8.85,400775.0,271.0,1481.0,13.41,3.0,,,,0.0,,,,,2019-08-07 18:28:11
39402,unknown,659,841.3,22.69,3.0,0.0,0.0,1479.0,0.0,0.0,9.66,400100.0,271.0,1479.0,13.64,3.0,,,,0.0,,,,,2019-08-07 18:28:12
39403,unknown,659,840.62,22.46,3.0,0.0,0.0,1478.0,0.0,0.0,9.07,399633.0,270.0,1478.0,13.49,3.0,,,,0.0,,,,,2019-08-07 18:28:13
39404,unknown,659,842.39,22.87,3.0,0.0,0.0,1388.0,0.0,0.0,6.27,377032.0,272.0,1388.0,13.8,3.0,,,,0.0,,,,,2019-08-07 18:28:14
39405,unknown,659,834.52,22.93,3.0,0.0,0.0,1423.0,0.0,0.0,8.37,385441.0,271.0,1423.0,13.96,3.0,,,,0.0,,,,,2019-08-07 18:28:15
39406,unknown,659,841.98,22.74,3.0,0.0,0.0,1438.0,0.0,0.0,8.28,389584.0,271.0,1438.0,13.92,3.0,,,,0.0,,,,,2019-08-07 18:28:16
39407,unknown,659,840.5,22.22,3.0,0.0,0.0,1486.0,0.0,0.0,8.61,402253.0,271.0,1486.0,13.95,3.0,,,,0.0,,,,,2019-08-07 18:28:17
39408,unknown,659,841.02,22.77,3.0,0.0,0.0,1457.0,0.0,0.0,8.85,394578.0,271.0,1457.0,13.53,3.0,,,,0.0,,,,,2019-08-07 18:28:18
39409,unknown,659,838.59,22.76,3.0,0.0,0.0,1474.0,0.0,0.0,9.56,399090.0,271.0,1474.0,13.67,3.0,,,,0.0,,,,,2019-08-07 18:28:19
39410,unknown,659,838.47,22.39,3.0,0.0,0.0,1491.0,0.0,0.0,9.53,403489.0,271.0,1491.0,13.81,3.0,,,,0.0,,,,,2019-08-07 18:28:20
39411,unknown,659,844.86,22.51,3.0,0.0,0.0,1477.0,0.0,0.0,8.94,400135.0,271.0,1477.0,13.8,3.0,,,,0.0,,,,,2019-08-07 18:28:21
39412,unknown,659,837.38,22.41,3.0,0.0,0.0,1471.0,0.0,0.0,8.08,398691.0,271.0,1471.0,13.85,3.0,,,,0.0,,,,,2019-08-07 18:28:22
39413,unknown,659,845.85,22.54,3.0,1.0,0.0,1432.0,0.0,0.0,7.26,388011.0,271.0,1433.0,13.87,3.0,,,,0.0,,,,,2019-08-07 18:28:23
39414,unknown,659,841.42,22.66,3.0,0.0,0.0,1426.0,0.0,0.0,7.65,386486.0,271.0,1426.0,13.92,3.0,,,,0.0,,,,,2019-08-07 18:28:24
39415,unknown,659,843.47,22.12,3.0,0.0,0.0,1456.0,0.0,0.0,6.59,394999.0,271.0,1456.0,13.98,3.0,,,,0.0,,,,,2019-08-07 18:28:25
39416,unknown,659,837.24,22.84,3.0,0.0,0.0,1354.0,0.0,0.0,5.17,367976.0,272.0,1354.0,13.81,3.0,,,,0.0,,,,,2019-08-07 18:28:26
39417,unknown,659,845.64,23.39,3.0,0.0,0.0,1315.0,0.0,0.0,4.87,356925.0,271.0,1315.0,14.02,3.0,,,,0.0,,,,,2019-08-07 18:28:27
39418,unknown,659,837.9,23.34,3.0,0.0,0.0,1319.0,0.0,0.0,5.0,358130.0,272.0,1319.0,14.01,3.0,,,,0.0,,,,,2019-08-07 18:28:28
39419,unknown,659,842.33,23.8,3.0,0.0,0.0,1337.0,0.0,0.0,7.18,362560.0,271.0,1337.0,14.06,3.0,,,,0.0,,,,,2019-08-07 18:28:29
39420,unknown,659,837.82,24.53,3.0,0.0,0.0,1320.0,0.0,0.0,9.17,357838.0,271.0,1320.0,14.1,3.0,,,,0.0,,,,,2019-08-07 18:28:30
39421,unknown,659,844.83,23.8,3.0,0.0,0.0,1353.0,0.0,0.0,8.2,366008.0,271.0,1353.0,14.19,3.0,,,,0.0,,,,,2019-08-07 18:28:31
