,causes_type,sample_index,feature0,feature1,feature2,feature3_1,feature3_2,feature3_3,feature3_4,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature60,feature20_distance,featureY_if,featureX_if,featureY_mean,featureX_mean,featureY_min,featureX_min
129,rootcause3,675,38.52,9.15,1,1343,0,0,0,0,7.54,339300,252,1344,9.62,1,17,-81,-83.88,118.0006397,-365.16,22.385,-88.8525,4.750625,-101.75,-16.06
130,rootcause3,675,33.26,8.31,1,1347,0,0,0,0,8.38,342257,254,1346,9.16,1,10.38,-78,-88.5,117.851363,-375.86,17.17,-88.809375,3.765,-97.38,-8.69
131,rootcause3,675,38.5,8.38,1,1471,0,0,0,0.08,8.77,372701,253,1472,9.2,1,13.63,-78.63,-80.38,102.8219257,-386.085,25.605,-87.489375,5.32125,-97.25,-12
132,rootcause3,675,35.99,8.39,1,1390,0,0,0,0,9.16,350776,252,1390,8.76,1,,,,111.0549915,-383.55,23,-88.359375,4.825,-94.69,-1.75
133,rootcause3,675,28.7,7.66,1,1401,0,0,0,0,7.49,355313,254,1400,8.24,1,10.88,-83,-78.63,124.9099074,-366.73,20.17,-89.738125,3.42625,-96.5,-14.56
134,rootcause3,675,32.57,8.06,1,1315,0,0,0,0,7.97,332815,253,1315,9.86,1,10.13,-83.63,-80,148.2602762,-336.96,13.18,-88.539375,1.601875,-96.56,-14.38
135,rootcause3,675,33.61,7.99,1,1405,0,0,0,0,8.06,356717,254,1405,10.2,1,,,,166.5710398,-318.505,11.59,-89.34875,0.85625,-103.94,-18.25
136,rootcause3,675,35.51,12.52,1.91,98,1017,0,0,4.11,32.38,271206,243,1116,9.29,2,,,,,,,,,,
137,rootcause3,675,40.76,9.32,1.03,1343,42,0,0,0,8.7,348875,252,1384,11.04,1,-7.13,-87.13,-91.25,183.1707495,-301.245,-23.665,-92.985625,-7.404375,-102.69,-18
138,rootcause3,675,62.26,14.76,1.74,839,250,437,0,2.76,26.43,377077,247,1526,10.14,2,,,,,,,,,,
139,rootcause3,675,169.48,14.45,1.07,1368,110,0,0,0,6.63,370891,251,1479,10.98,1,,,,,,,,,,
140,rootcause3,675,58.74,12.67,1.99,11,1362,0,0,2.85,30.58,339642,248,1372,12.16,2,1.5,-79.5,-86.88,167.0617432,-328.005,-14.39,-87.91625,-3.965,-103,-18.31
141,rootcause3,675,109.18,15.47,1.01,1510,12,0,0,0,2.56,384992,253,1523,13.5,1,,,,169.0383537,-322.77,-6.25,-86.781875,-2.015,-100.38,-11.44
142,rootcause3,675,165.04,14.03,1.99,13,1519,0,0,0,8.35,386660,252,1532,11.96,2,-6.75,-80,-86.63,207.2495842,-287.06,-7.96,-86.1575,-2.866875,-98.44,-14
143,rootcause3,675,159.31,19.54,1.01,1578,13,0,0,0,5.15,401899,253,1590,12.12,1,3.25,-73.38,-84.13,145.8641422,-361.3,-31.84,-89.31,-8.34125,-97.81,-17.19
144,rootcause3,675,159.11,21.02,1,1570,0,0,0,0,9.04,393495,251,1570,13.16,1,3.63,-63.75,-64.75,175.0420725,-285.735,-5.995,-82.419375,-1.44125,-96.38,-16.88
145,rootcause3,675,194.4,23.73,1.11,1271,157,0,0,0,15.13,354328,248,1428,11.82,1,-9.38,-78.25,-77.63,168.9839524,-326.245,-25.735,-87.325,-6.915625,-96.88,-14.63
