sample_index,root-cause(s),Root1,Root2,Root3
1428,rootcause3,0,0,1
1429,rootcause3,0,0,1
1430,rootcause3,0,0,1
1436,rootcause3,0,0,1
1439,rootcause3,0,0,1
1440,rootcause3,0,0,1
1446,rootcause3,0,0,1
1461,rootcause3,0,0,1
1466,rootcause3,0,0,1
1471,rootcause3,0,0,1
1481,rootcause2&rootcause3,0,1,1
1490,rootcause1,1,0,0
1492,rootcause3,0,0,1
1495,rootcause3,0,0,1
1503,rootcause3,0,0,1
1504,rootcause3,0,0,1
1513,rootcause3,0,0,1
1515,rootcause2&rootcause3,0,1,1
1531,rootcause2&rootcause3,0,1,1
1540,rootcause1,1,0,0
1547,rootcause1,1,0,0
1573,rootcause1,1,0,0
1574,rootcause3,0,0,1
1577,rootcause2&rootcause3,0,1,1
1579,rootcause3,0,0,1
1588,rootcause3,0,0,1
1622,rootcause3,0,0,1
1629,rootcause2&rootcause3,0,1,1
1650,rootcause2&rootcause3,0,1,1
1662,rootcause2&rootcause3,0,1,1
1664,rootcause3,0,0,1
1667,rootcause2&rootcause3,0,1,1
1668,rootcause2&rootcause3,0,1,1
1672,rootcause2&rootcause3,0,1,1
1675,rootcause2&rootcause3,0,1,1
1681,rootcause2&rootcause3,0,1,1
1715,rootcause3,0,0,1
1720,rootcause2&rootcause3,0,1,1
1721,rootcause2&rootcause3,0,1,1
1733,rootcause2&rootcause3,0,1,1
1735,rootcause2&rootcause3,0,1,1
1741,rootcause2&rootcause3,0,1,1
1750,rootcause3,0,0,1
1751,rootcause2&rootcause3,0,1,1
1756,rootcause3,0,0,1
1757,rootcause3,0,0,1
1758,rootcause2,0,1,0
1759,rootcause2&rootcause3,0,1,1
1760,rootcause3,0,0,1
1761,rootcause2&rootcause3,0,1,1
1762,rootcause3,0,0,1
1763,rootcause3,0,0,1
1764,rootcause3,0,0,1
1765,rootcause3,0,0,1
1766,rootcause3,0,0,1
1767,rootcause3,0,0,1
1768,rootcause3,0,0,1
1769,rootcause3,0,0,1
1770,rootcause3,0,0,1
1771,rootcause3,0,0,1
1772,rootcause3,0,0,1
1773,rootcause3,0,0,1
1774,rootcause3,0,0,1
1775,rootcause3,0,0,1
1776,rootcause2&rootcause3,0,1,1
1777,rootcause3,0,0,1
1778,rootcause3,0,0,1
1779,rootcause3,0,0,1
1780,rootcause2&rootcause3,0,1,1
1781,rootcause1,1,0,0
1782,rootcause3,0,0,1
1783,rootcause3,0,0,1
1784,rootcause3,0,0,1
1785,rootcause3,0,0,1
1786,rootcause1,1,0,0
1787,rootcause3,0,0,1
1788,rootcause3,0,0,1
1789,rootcause3,0,0,1
1790,rootcause3,0,0,1
1791,rootcause3,0,0,1
1792,rootcause3,0,0,1
1793,rootcause3,0,0,1
1794,rootcause3,0,0,1
1795,rootcause3,0,0,1
1796,rootcause3,0,0,1
1797,rootcause3,0,0,1
1798,rootcause3,0,0,1
1799,rootcause3,0,0,1
1800,rootcause3,0,0,1
1801,rootcause3,0,0,1
1802,rootcause3,0,0,1
1803,rootcause3,0,0,1
1804,rootcause3,0,0,1
1805,rootcause3,0,0,1
1806,rootcause3,0,0,1
1807,rootcause3,0,0,1
1808,rootcause3,0,0,1
1809,rootcause3,0,0,1
1810,rootcause3,0,0,1
1811,rootcause3,0,0,1
1812,rootcause3,0,0,1
1813,rootcause3,0,0,1
1814,rootcause3,0,0,1
1815,rootcause3,0,0,1
1816,rootcause3,0,0,1
1817,rootcause3,0,0,1
1818,rootcause3,0,0,1
1819,rootcause3,0,0,1
1820,rootcause3,0,0,1
1821,rootcause3,0,0,1
1822,rootcause3,0,0,1
1823,rootcause1,1,0,0
1824,rootcause1,1,0,0
1825,rootcause1,1,0,0
1826,rootcause3,0,0,1
1827,rootcause3,0,0,1
1828,rootcause3,0,0,1
1829,rootcause3,0,0,1
1830,rootcause3,0,0,1
1831,rootcause3,0,0,1
1832,rootcause3,0,0,1
1833,rootcause3,0,0,1
1834,rootcause3,0,0,1
1835,rootcause3,0,0,1
1836,rootcause3,0,0,1
1837,rootcause3,0,0,1
1838,rootcause3,0,0,1
1839,rootcause3,0,0,1
1840,rootcause3,0,0,1
1841,rootcause3,0,0,1
1842,rootcause3,0,0,1
1843,rootcause1,1,0,0
1844,rootcause3,0,0,1
1845,rootcause3,0,0,1
1846,rootcause1,1,0,0
1847,rootcause3,0,0,1
1848,rootcause3,0,0,1
1849,rootcause3,0,0,1
1850,rootcause3,0,0,1
1851,rootcause3,0,0,1
1852,rootcause1,1,0,0
1853,rootcause3,0,0,1
1854,rootcause3,0,0,1
1855,rootcause3,0,0,1
1856,rootcause2&rootcause3,0,1,1
1857,rootcause2&rootcause3,0,1,1
1858,rootcause2,0,1,0
1859,rootcause3,0,0,1
1860,rootcause3,0,0,1
1861,rootcause2&rootcause3,0,1,1
1862,rootcause3,0,0,1
1863,rootcause3,0,0,1
1864,rootcause3,0,0,1
1865,rootcause2&rootcause3,0,1,1
1866,rootcause3,0,0,1
1867,rootcause3,0,0,1
1868,rootcause3,0,0,1
1869,rootcause3,0,0,1
1870,rootcause3,0,0,1
1871,rootcause3,0,0,1
1872,rootcause2&rootcause3,0,1,1
1873,rootcause3,0,0,1
1874,rootcause3,0,0,1
1875,rootcause3,0,0,1
1876,rootcause2&rootcause3,0,1,1
1877,rootcause3,0,0,1
1878,rootcause1,1,0,0
1879,rootcause1,1,0,0
1880,rootcause3,0,0,1
1881,rootcause3,0,0,1
1882,rootcause3,0,0,1
1883,rootcause1,1,0,0
1884,rootcause1,1,0,0
1885,rootcause3,0,0,1
1886,rootcause3,0,0,1
1887,rootcause1,1,0,0
1888,rootcause1,1,0,0
1889,rootcause3,0,0,1
1890,rootcause3,0,0,1
1891,rootcause3,0,0,1
1892,rootcause3,0,0,1
1893,rootcause3,0,0,1
1894,rootcause3,0,0,1
1895,rootcause3,0,0,1
1896,rootcause3,0,0,1
1897,rootcause3,0,0,1
1898,rootcause3,0,0,1
1899,rootcause3,0,0,1
1900,rootcause3,0,0,1
1901,rootcause3,0,0,1
1902,rootcause3,0,0,1
1903,rootcause3,0,0,1
1904,rootcause1,1,0,0
1905,rootcause3,0,0,1
1906,rootcause3,0,0,1
1907,rootcause3,0,0,1
1908,rootcause3,0,0,1
1909,rootcause3,0,0,1
1910,rootcause3,0,0,1
1911,rootcause3,0,0,1
1912,rootcause3,0,0,1
1913,rootcause1,1,0,0
1914,rootcause1,1,0,0
1915,rootcause3,0,0,1
1916,rootcause3,0,0,1
1917,rootcause3,0,0,1
1918,rootcause1,1,0,0
1919,rootcause3,0,0,1
1920,rootcause3,0,0,1
1921,rootcause3,0,0,1
1922,rootcause2&rootcause3,0,1,1
1923,rootcause2&rootcause3,0,1,1
1924,rootcause1,1,0,0
1925,rootcause2&rootcause3,0,1,1
1926,rootcause3,0,0,1
1927,rootcause2&rootcause3,0,1,1
1928,rootcause2&rootcause3,0,1,1
1929,rootcause3,0,0,1
1930,rootcause3,0,0,1
1931,rootcause1,1,0,0
1932,rootcause3,0,0,1
1933,rootcause3,0,0,1
1934,rootcause3,0,0,1
1935,rootcause3,0,0,1
1936,rootcause2&rootcause3,0,1,1
1937,rootcause1,1,0,0
1938,rootcause1,1,0,0
1939,rootcause3,0,0,1
1940,rootcause3,0,0,1
1941,rootcause3,0,0,1
1942,rootcause3,0,0,1
1943,rootcause3,0,0,1
1944,rootcause3,0,0,1
1945,rootcause3,0,0,1
1946,rootcause3,0,0,1
1947,rootcause3,0,0,1
1948,rootcause3,0,0,1
1949,rootcause3,0,0,1
1950,rootcause3,0,0,1
1951,rootcause3,0,0,1
1952,rootcause3,0,0,1
1953,rootcause3,0,0,1
1954,rootcause3,0,0,1
1955,rootcause3,0,0,1
1956,rootcause3,0,0,1
1957,rootcause3,0,0,1
1958,rootcause1,1,0,0
1959,rootcause3,0,0,1
1960,rootcause3,0,0,1
1961,rootcause3,0,0,1
1962,rootcause3,0,0,1
1963,rootcause3,0,0,1
1964,rootcause3,0,0,1
1965,rootcause3,0,0,1
1966,rootcause3,0,0,1
1967,rootcause3,0,0,1
1968,rootcause3,0,0,1
1969,rootcause3,0,0,1
1970,rootcause3,0,0,1
1971,rootcause3,0,0,1
1972,rootcause3,0,0,1
1973,rootcause1,1,0,0
1974,rootcause3,0,0,1
1975,rootcause3,0,0,1
1976,rootcause2&rootcause3,0,1,1
1977,rootcause3,0,0,1
1978,rootcause3,0,0,1
1979,rootcause3,0,0,1
1980,rootcause2,0,1,0
1981,rootcause1,1,0,0
1982,rootcause2&rootcause3,0,1,1
1983,rootcause3,0,0,1
1984,rootcause3,0,0,1
1985,rootcause3,0,0,1
1986,rootcause3,0,0,1
1987,rootcause3,0,0,1
1988,rootcause1,1,0,0
1989,rootcause1,1,0,0
1990,rootcause3,0,0,1
1991,rootcause3,0,0,1
1992,rootcause1,1,0,0
1993,rootcause1,1,0,0
1994,rootcause1,1,0,0
1995,rootcause1,1,0,0
1996,rootcause3,0,0,1
1997,rootcause3,0,0,1
1998,rootcause3,0,0,1
1999,rootcause3,0,0,1
2000,rootcause3,0,0,1
2001,rootcause3,0,0,1
2002,rootcause3,0,0,1
2003,rootcause3,0,0,1
2004,rootcause3,0,0,1
2005,rootcause3,0,0,1
2006,rootcause1,1,0,0
2007,rootcause3,0,0,1
2008,rootcause3,0,0,1
2009,rootcause3,0,0,1
2010,rootcause3,0,0,1
2011,rootcause3,0,0,1
2012,rootcause3,0,0,1
2013,rootcause3,0,0,1
2014,rootcause3,0,0,1
2015,rootcause1,1,0,0
2016,rootcause3,0,0,1
2017,rootcause3,0,0,1
2018,rootcause3,0,0,1
2019,rootcause3,0,0,1
2020,rootcause3,0,0,1
2021,rootcause3,0,0,1
2022,rootcause3,0,0,1
2023,rootcause3,0,0,1
2024,rootcause3,0,0,1
2025,rootcause3,0,0,1
2026,rootcause3,0,0,1
2027,rootcause3,0,0,1
2028,rootcause3,0,0,1
2029,rootcause3,0,0,1
2030,rootcause3,0,0,1
2031,rootcause2&rootcause3,0,1,1
2032,rootcause3,0,0,1
2033,rootcause3,0,0,1
2034,rootcause3,0,0,1
2035,rootcause2,0,1,0
2036,rootcause2&rootcause3,0,1,1
2037,rootcause3,0,0,1
2038,rootcause3,0,0,1
2039,rootcause3,0,0,1
2040,rootcause1,1,0,0
2041,rootcause1,1,0,0
2042,rootcause3,0,0,1
2043,rootcause1,1,0,0
2044,rootcause3,0,0,1
2045,rootcause3,0,0,1
2046,rootcause3,0,0,1
2047,rootcause3,0,0,1
2048,rootcause3,0,0,1
2049,rootcause3,0,0,1
2050,rootcause3,0,0,1
2051,rootcause3,0,0,1
2052,rootcause3,0,0,1
2053,rootcause3,0,0,1
2054,rootcause3,0,0,1
2055,rootcause3,0,0,1
2056,rootcause3,0,0,1
2057,rootcause3,0,0,1
2058,rootcause3,0,0,1
2059,rootcause3,0,0,1
2060,rootcause3,0,0,1
2061,rootcause3,0,0,1
2062,rootcause3,0,0,1
2063,rootcause3,0,0,1
2064,rootcause3,0,0,1
2065,rootcause3,0,0,1
2066,rootcause3,0,0,1
2067,rootcause1,1,0,0
2068,rootcause3,0,0,1
2069,rootcause3,0,0,1
2070,rootcause2&rootcause3,0,1,1
2071,rootcause2&rootcause3,0,1,1
2072,rootcause2&rootcause3,0,1,1
2073,rootcause3,0,0,1
2074,rootcause1,1,0,0
2075,rootcause3,0,0,1
2076,rootcause3,0,0,1
2077,rootcause3,0,0,1
2078,rootcause2,0,1,0
2079,rootcause2,0,1,0
2080,rootcause2&rootcause3,0,1,1
2081,rootcause2&rootcause3,0,1,1
2082,rootcause2&rootcause3,0,1,1
2083,rootcause2,0,1,0
2084,rootcause2&rootcause3,0,1,1
2085,rootcause3,0,0,1
2086,rootcause3,0,0,1
2087,rootcause3,0,0,1
2088,rootcause3,0,0,1
2089,rootcause1,1,0,0
2090,rootcause1,1,0,0
2091,rootcause3,0,0,1
2092,rootcause3,0,0,1
2093,rootcause1,1,0,0
2094,rootcause3,0,0,1
2095,rootcause3,0,0,1
2096,rootcause3,0,0,1
2097,rootcause3,0,0,1
2098,rootcause3,0,0,1
2099,rootcause3,0,0,1
2100,rootcause3,0,0,1
2101,rootcause3,0,0,1
2102,rootcause3,0,0,1
2103,rootcause3,0,0,1
2104,rootcause3,0,0,1
2105,rootcause1,1,0,0
2106,rootcause3,0,0,1
2107,rootcause3,0,0,1
2108,rootcause3,0,0,1
2109,rootcause3,0,0,1
2110,rootcause3,0,0,1
2111,rootcause3,0,0,1
2112,rootcause3,0,0,1
2113,rootcause3,0,0,1
2114,rootcause3,0,0,1
2115,rootcause3,0,0,1
2116,rootcause3,0,0,1
2117,rootcause3,0,0,1
2118,rootcause3,0,0,1
2119,rootcause3,0,0,1
2120,rootcause3,0,0,1
2121,rootcause3,0,0,1
2122,rootcause3,0,0,1
2123,rootcause3,0,0,1
2124,rootcause3,0,0,1
2125,rootcause1,1,0,0
2126,rootcause3,0,0,1
2127,rootcause3,0,0,1
2128,rootcause3,0,0,1
2129,rootcause3,0,0,1
2130,rootcause1,1,0,0
2131,rootcause3,0,0,1
2132,rootcause3,0,0,1
2133,rootcause3,0,0,1
2134,rootcause3,0,0,1
2135,rootcause2&rootcause3,0,1,1
2136,rootcause3,0,0,1
2137,rootcause2&rootcause3,0,1,1
2138,rootcause2&rootcause3,0,1,1
2139,rootcause3,0,0,1
2140,rootcause3,0,0,1
2141,rootcause3,0,0,1
2142,rootcause3,0,0,1
2143,rootcause3,0,0,1
2144,rootcause3,0,0,1
2145,rootcause3,0,0,1
2146,rootcause2&rootcause3,0,1,1
2147,rootcause2&rootcause3,0,1,1
2148,rootcause3,0,0,1
2149,rootcause3,0,0,1
2150,rootcause2&rootcause3,0,1,1
2151,rootcause3,0,0,1
2152,rootcause1,1,0,0
2153,rootcause3,0,0,1
2154,rootcause3,0,0,1
2155,rootcause3,0,0,1
2156,rootcause3,0,0,1
2157,rootcause3,0,0,1
2158,rootcause3,0,0,1
2159,rootcause3,0,0,1
2160,rootcause3,0,0,1
2161,rootcause3,0,0,1
2162,rootcause3,0,0,1
2163,rootcause3,0,0,1
2164,rootcause3,0,0,1
2165,rootcause3,0,0,1
2166,rootcause3,0,0,1
2167,rootcause3,0,0,1
2168,rootcause3,0,0,1
2169,rootcause3,0,0,1
2170,rootcause3,0,0,1
2171,rootcause1,1,0,0
2172,rootcause3,0,0,1
2173,rootcause3,0,0,1
2174,rootcause3,0,0,1
2175,rootcause3,0,0,1
2176,rootcause3,0,0,1
2177,rootcause3,0,0,1
2178,rootcause3,0,0,1
2179,rootcause3,0,0,1
2180,rootcause3,0,0,1
2181,rootcause3,0,0,1
2182,rootcause3,0,0,1
2183,rootcause3,0,0,1
2184,rootcause3,0,0,1
2185,rootcause3,0,0,1
2186,rootcause3,0,0,1
2187,rootcause3,0,0,1
2188,rootcause3,0,0,1
2189,rootcause3,0,0,1
2190,rootcause3,0,0,1
2191,rootcause3,0,0,1
2192,rootcause3,0,0,1
2193,rootcause3,0,0,1
2194,rootcause3,0,0,1
2195,rootcause3,0,0,1
2196,rootcause3,0,0,1
2197,rootcause3,0,0,1
2198,rootcause3,0,0,1
2199,rootcause3,0,0,1
2200,rootcause3,0,0,1
2201,rootcause3,0,0,1
2202,rootcause3,0,0,1
2203,rootcause3,0,0,1
2204,rootcause3,0,0,1
2205,rootcause1,1,0,0
2206,rootcause2&rootcause3,0,1,1
2207,rootcause3,0,0,1
2208,rootcause2,0,1,0
2209,rootcause3,0,0,1
2210,rootcause3,0,0,1
2211,rootcause2&rootcause3,0,1,1
2212,rootcause3,0,0,1
2213,rootcause3,0,0,1
2214,rootcause3,0,0,1
2215,rootcause3,0,0,1
2216,rootcause3,0,0,1
2217,rootcause3,0,0,1
2218,rootcause2,0,1,0
2219,rootcause3,0,0,1
2220,rootcause3,0,0,1
2221,rootcause3,0,0,1
2222,rootcause3,0,0,1
2223,rootcause3,0,0,1
2224,rootcause3,0,0,1
2225,rootcause3,0,0,1
2226,rootcause2&rootcause3,0,1,1
2227,rootcause2,0,1,0
2228,rootcause2,0,1,0
2229,rootcause2&rootcause3,0,1,1
2230,rootcause3,0,0,1
2231,rootcause1,1,0,0
2232,rootcause1,1,0,0
2233,rootcause3,0,0,1
2234,rootcause3,0,0,1
2235,rootcause3,0,0,1
2236,rootcause3,0,0,1
2237,rootcause3,0,0,1
2238,rootcause3,0,0,1
2239,rootcause3,0,0,1
2240,rootcause3,0,0,1
2241,rootcause3,0,0,1
2242,rootcause3,0,0,1
2243,rootcause3,0,0,1
2244,rootcause3,0,0,1
2245,rootcause3,0,0,1
2246,rootcause3,0,0,1
2247,rootcause3,0,0,1
2248,rootcause3,0,0,1
2249,rootcause3,0,0,1
2250,rootcause3,0,0,1
2251,rootcause3,0,0,1
2252,rootcause3,0,0,1
2253,rootcause3,0,0,1
2254,rootcause3,0,0,1
2255,rootcause3,0,0,1
2256,rootcause3,0,0,1
2257,rootcause3,0,0,1
2258,rootcause3,0,0,1
2259,rootcause3,0,0,1
2260,rootcause3,0,0,1
2261,rootcause3,0,0,1
2262,rootcause3,0,0,1
2263,rootcause3,0,0,1
2264,rootcause3,0,0,1
2265,rootcause3,0,0,1
2266,rootcause3,0,0,1
2267,rootcause3,0,0,1
2268,rootcause3,0,0,1
2269,rootcause3,0,0,1
2270,rootcause3,0,0,1
2271,rootcause3,0,0,1
2272,rootcause3,0,0,1
2273,rootcause3,0,0,1
2274,rootcause1,1,0,0
2275,rootcause3,0,0,1
2276,rootcause1,1,0,0
2277,rootcause3,0,0,1
2278,rootcause3,0,0,1
2279,rootcause3,0,0,1
2280,rootcause3,0,0,1
2281,rootcause3,0,0,1
2282,rootcause3,0,0,1
2283,rootcause3,0,0,1
2284,rootcause3,0,0,1
2285,rootcause1,1,0,0
2286,rootcause3,0,0,1
2287,rootcause3,0,0,1
2288,rootcause2&rootcause3,0,1,1
2289,rootcause2&rootcause3,0,1,1
2290,rootcause2&rootcause3,0,1,1
2291,rootcause2&rootcause3,0,1,1
2292,rootcause3,0,0,1
2293,rootcause3,0,0,1
2294,rootcause3,0,0,1
2295,rootcause3,0,0,1
2296,rootcause3,0,0,1
2297,rootcause3,0,0,1
2298,rootcause3,0,0,1
2299,rootcause3,0,0,1
2300,rootcause3,0,0,1
2301,rootcause3,0,0,1
2302,rootcause3,0,0,1
2303,rootcause1,1,0,0
2304,rootcause3,0,0,1
2305,rootcause3,0,0,1
2306,rootcause3,0,0,1
2307,rootcause3,0,0,1
2308,rootcause3,0,0,1
2309,rootcause3,0,0,1
2310,rootcause3,0,0,1
2311,rootcause3,0,0,1
2312,rootcause3,0,0,1
2313,rootcause3,0,0,1
2314,rootcause3,0,0,1
2315,rootcause3,0,0,1
2316,rootcause3,0,0,1
2317,rootcause3,0,0,1
2318,rootcause3,0,0,1
2319,rootcause3,0,0,1
2320,rootcause3,0,0,1
2321,rootcause3,0,0,1
2322,rootcause3,0,0,1
2323,rootcause3,0,0,1
2324,rootcause3,0,0,1
2325,rootcause3,0,0,1
2326,rootcause3,0,0,1
2327,rootcause3,0,0,1
2328,rootcause3,0,0,1
2329,rootcause3,0,0,1
2330,rootcause3,0,0,1
2331,rootcause3,0,0,1
2332,rootcause3,0,0,1
2333,rootcause3,0,0,1
2334,rootcause3,0,0,1
2335,rootcause3,0,0,1
2336,rootcause3,0,0,1
2337,rootcause3,0,0,1
2338,rootcause3,0,0,1
2339,rootcause3,0,0,1
2340,rootcause3,0,0,1
2341,rootcause3,0,0,1
2342,rootcause3,0,0,1
2343,rootcause3,0,0,1
2344,rootcause3,0,0,1
2345,rootcause3,0,0,1
2346,rootcause3,0,0,1
2347,rootcause3,0,0,1
2348,rootcause3,0,0,1
2349,rootcause3,0,0,1
2350,rootcause3,0,0,1
2351,rootcause2&rootcause3,0,1,1
2352,rootcause3,0,0,1
2353,rootcause3,0,0,1
2354,rootcause3,0,0,1
2355,rootcause3,0,0,1
2356,rootcause3,0,0,1
2357,rootcause3,0,0,1
2358,rootcause3,0,0,1
2359,rootcause3,0,0,1
2360,rootcause3,0,0,1
2361,rootcause1,1,0,0
2362,rootcause3,0,0,1
2363,rootcause3,0,0,1
2364,rootcause3,0,0,1
2365,rootcause3,0,0,1
2366,rootcause3,0,0,1
2367,rootcause1,1,0,0
2368,rootcause3,0,0,1
2369,rootcause3,0,0,1
2370,rootcause3,0,0,1
2371,rootcause3,0,0,1
2372,rootcause3,0,0,1
2373,rootcause3,0,0,1
2374,rootcause3,0,0,1
2375,rootcause3,0,0,1
2376,rootcause3,0,0,1
2377,rootcause3,0,0,1
2378,rootcause3,0,0,1
2379,rootcause3,0,0,1
2380,rootcause3,0,0,1
2381,rootcause3,0,0,1
2382,rootcause3,0,0,1
2383,rootcause3,0,0,1
2384,rootcause3,0,0,1
2385,rootcause3,0,0,1
2386,rootcause3,0,0,1
2387,rootcause3,0,0,1
2388,rootcause3,0,0,1
2389,rootcause3,0,0,1
2390,rootcause3,0,0,1
2391,rootcause3,0,0,1
2392,rootcause3,0,0,1
2393,rootcause3,0,0,1
2394,rootcause3,0,0,1
2395,rootcause3,0,0,1
2396,rootcause3,0,0,1
2397,rootcause3,0,0,1
2398,rootcause3,0,0,1
2399,rootcause3,0,0,1
2400,rootcause3,0,0,1
2401,rootcause3,0,0,1
2402,rootcause3,0,0,1
2403,rootcause3,0,0,1
2404,rootcause3,0,0,1
2405,rootcause3,0,0,1
2406,rootcause3,0,0,1
2407,rootcause3,0,0,1
2408,rootcause3,0,0,1
2409,rootcause3,0,0,1
2410,rootcause3,0,0,1
2411,rootcause3,0,0,1
2412,rootcause3,0,0,1
2413,rootcause3,0,0,1
2414,rootcause3,0,0,1
2415,rootcause3,0,0,1
2416,rootcause3,0,0,1
2417,rootcause3,0,0,1
2418,rootcause3,0,0,1
2419,rootcause3,0,0,1
2420,rootcause3,0,0,1
2421,rootcause3,0,0,1
2422,rootcause3,0,0,1
2423,rootcause3,0,0,1
2424,rootcause3,0,0,1
2425,rootcause1,1,0,0
2426,rootcause3,0,0,1
2427,rootcause3,0,0,1
2428,rootcause3,0,0,1
2429,rootcause3,0,0,1
2430,rootcause3,0,0,1
2431,rootcause3,0,0,1
2432,rootcause3,0,0,1
2433,rootcause3,0,0,1
2434,rootcause3,0,0,1
2435,rootcause3,0,0,1
2436,rootcause3,0,0,1
2437,rootcause3,0,0,1
2438,rootcause3,0,0,1
2439,rootcause3,0,0,1
2440,rootcause3,0,0,1
2441,rootcause3,0,0,1
2442,rootcause3,0,0,1
2443,rootcause3,0,0,1
2444,rootcause3,0,0,1
2445,rootcause3,0,0,1
2446,rootcause3,0,0,1
2447,rootcause3,0,0,1
2448,rootcause3,0,0,1
2449,rootcause3,0,0,1
2450,rootcause3,0,0,1
2451,rootcause3,0,0,1
2452,rootcause3,0,0,1
2453,rootcause3,0,0,1
2454,rootcause3,0,0,1
2455,rootcause3,0,0,1
2456,rootcause3,0,0,1
2457,rootcause3,0,0,1
2458,rootcause3,0,0,1
2459,rootcause3,0,0,1
2460,rootcause3,0,0,1
2461,rootcause3,0,0,1
2462,rootcause3,0,0,1
2463,rootcause3,0,0,1
2464,rootcause3,0,0,1
2465,rootcause3,0,0,1
2466,rootcause3,0,0,1
2467,rootcause3,0,0,1
2468,rootcause3,0,0,1
2469,rootcause3,0,0,1
2470,rootcause3,0,0,1
2471,rootcause3,0,0,1
2472,rootcause3,0,0,1
2473,rootcause3,0,0,1
2474,rootcause3,0,0,1
2475,rootcause3,0,0,1
2476,rootcause3,0,0,1
2477,rootcause3,0,0,1
2478,rootcause3,0,0,1
2479,rootcause3,0,0,1
2480,rootcause3,0,0,1
2481,rootcause3,0,0,1
2482,rootcause3,0,0,1
2483,rootcause3,0,0,1
